name,station_type,stations_supported,city,state,website,facebook,twitter,mission
Okefenokee Wildlife League (OWL),refuge,"Okefenokee, Banks Lake",Folkston,Georgia,http://eventvista.wix.com/okefenokeewlleague,,,
Pelican Island Preservation Society,refuge,Pelican Island,Sebastian,Florida,firstrefuge.org,https://www.facebook.com/Pelican-Island-Preservation-Society-185733424862382/timeline,,<p>The purpose of this organization is to support and promote Pelican Island National Wildlife Refuge(PINWR) and the National Wildlife Refuge System (NWRS) in their efforts to conserve habitat and wildlife.</p>
Friends of Coastal South Carolina (formerly known as SEWEE),refuge,"Cape Romain, Waccamaw, Ernest F. Hollings ACE Basin, Francis Marion National Forest",Mt. Pleasant,South Carolina,http://www.sccoastalfriends.org/,https://www.facebook.com/sccoastalfriends/,https://twitter.com/FrndsofCoastlSC,"<p>The South Eastern Wildlife and Environment Education Association (SEWEE Association) is the Friend's Group for the National Wildlife Refuges (NWR) and National Forest (NF) of coastal South Carolina. We are partners with Cape Romain NWR, Ernest F. Hollings ACE Basin NWR, Waccamaw NWR and Francis Marion NF.</p>"
St. Marks Refuge Association,refuge,St. Marks,St. Marks,Florida,stmarksrefuge.org,https://www.facebook.com/gotoSt.Marks/?fref=ts,,"<p>The St. Marks Refuge Association works to promote better understanding, appreciation, and conservation of St. Marks National Wildlife Refuge.</p>"
"Supporters of St. Vincent NWR, Inc.",refuge,St. Vincent,Eastpoint,Florida,stvincentfriends.com,https://www.facebook.com/stvincentislandsupporters/?fref=ts,https://twitter.com/StVincentNWR,"<p>The group's mission is to support environmental activities that include education, recreation and increased understanding of the history and natural environment of the St. Vincent National Wildlife Refuge.</p>"
"Tensas River Refuge Association (incorp as Delta Support Programs, Inc.)",refuge,Tensas River,Tallulah,Louisiana,http://www.friendsoftrnwr.org/,https://www.facebook.com/trrapage/timeline,,"<p>We are a non-profit, membership organization that assists the Refuge in accomplishing its mission of wildlife management and conservation.  Through special projects and public use opportunities, the TRRA strives to nurture the beauty and integrity that lies in the Tensas River Basin.</p>"
Ticatove,refuge,Vieques,Vieques,Puerto Rico,http://www.seaturtle.org/groups/?view=224,https://www.facebook.com/TICATOVE-Grupo-de-Conservaci%C3%B3n-de-Vieques-120144908003977/?fref=ts,,"<p>Our primary mission is to protect and conserve the natural treasures of Vieques, thru the promotion and development of conservation actions that show how humanity and nature are and have to be compatibles.</p>"
"Comité Caborrojeños Pro Salud y Ambiente, Inc.",refuge,Cabo Rojo,Cabo Rojo,Puerto Rico,http://www.ccpsai.org/web/,https://www.facebook.com/Comit%C3%A9-Caborroje%C3%B1o-Pro-Salud-y-Ambiente-Inc-299220946795207/?ref=ts,,
Wheeler Wildlife Refuge Association,refuge,"Wheeler, Key Cave, Sauta Cave, Fern Cave",Decatur,Alabama,friendsofwheelerrefuge.org,https://www.facebook.com/Wheeler-Wildlife-Refuge-Association-WWRA-1697491543825297/?fref=ts,,"<p>The WWRA is an independent, non–profit organization dedicated to: </p>
<ol>
    <li>Promoting the conservation of natural resources on the Wheeler National Wildlife Refuge,</li>
    <li>Fostering public understanding and appreciation of the Refuge, and</li>
    <li>Engaging in activities that support the mission of the Refuge.</li>
</ol>"
"Friends of Warm Springs Hatchery, Inc.",hatchery,Warm Springs,Warm Springs,Georgia, ,,,"<p>The Mission of F.I.S.H. is to support the work of Warm Springs National Fish Hatchery by promoting conservation ethics, environmental education, and a better understanding and appreciation of the natural history and aquatic resources of Georgia and Southeast, with an emphasis on educating local youth in fish and wildlife conservation.</p>"
"Friends of Wolf Creek National Fish Hatchery, Inc.",hatchery,Wolf Creek,Jamestown,Kentucky,http://www.friendsofwolfcreeknfh.com/,https://www.facebook.com/fowcnfh,,"<p>The Mission of the Friends of Wolf Creek National Fish Hatchery is to promote a better understanding and appreciation of the natural history, resources, and habitat of Kentucky, with particular emphasis on promoting environmental education and recreational fishing to the public.</p>"
F.I.S.H. – Friends in Support of the Hatchery,hatchery,Natchitoches,Natchitoches,Louisiana,fws.gov/natchitoches/fish,,,"<p>F.I.S.H. is a non-profit organization made up of people who support the Natchitoches National Fish Hatchery. F.I.S.H. promote awareness of what the hatchery does and how it benefits people, fish, and wildlife not only in the Natchitoches area but also in the entire southeast United States. The F.I.S.H. are committed to enhancing environmental awareness through educational programs. We also work to provide cultural education concerning the Caddo Indians as the hatchery site was once a Caddo Indian village.</p>"
Friends of Chattahoochee Forest National Fish Hatchery,hatchery,Chattahoochee Forest,Suches,Georgia,http://www.friendsofchattahoocheenfh.org/,,,
Friends of the Norfork National Fish Hatchery,hatchery,Norfork,Mountain Home,Arkansas,norforkhatcheryfriends.org,https://www.facebook.com/TheFriendsOfTheNorforkNationalFishHatchery/?fref=ts,,
Friends of Dale Hollow National Fish Hatchery,hatchery,Dale Hollow,Celina,Tennessee,http://www.thefriendsofdalehollownfh.org/,https://www.facebook.com/Friends-of-Dale-Hollow-NFH-278069702269466/timeline,,
Friends of Mammoth Spring National Fish Hatchery,hatchery,Mammoth Spring,Mammoth Spring ,Arkansas,,,,"<p>Our mission is to promote better understanding and appreciation of the natural history, resources and habitats of Arkansas and Missouri, with particular emphasis on providing environmental education and promoting recreational fishing to the public.</p> "
